Sample,Time,Decoder,Ann Row,Ann Class,Value,
8306518,83.065 ms,USB packet,Packets,Packet: NAK,NAK,
8310619,83.106 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8310934,83.109 ms,USB packet,Packets,Packet: NAK,NAK,
8315019,83.150 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8315334,83.153 ms,USB packet,Packets,Packet: NAK,NAK,
8319419,83.194 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8319734,83.197 ms,USB packet,Packets,Packet: NAK,NAK,
8328674,83.287 ms,USB packet,Packets,Packet: SOF,SOF 1319,
8328994,83.290 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8329309,83.293 ms,USB packet,Packets,Packet: NAK,NAK,
8333319,83.333 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8333635,83.336 ms,USB packet,Packets,Packet: NAK,NAK,
8337719,83.377 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8338035,83.380 ms,USB packet,Packets,Packet: NAK,NAK,
8343519,83.435 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8343834,83.438 ms,USB packet,Packets,Packet: NAK,NAK,
8347919,83.479 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8348234,83.482 ms,USB packet,Packets,Packet: NAK,NAK,
8352319,83.523 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8352634,83.526 ms,USB packet,Packets,Packet: NAK,NAK,
8356719,83.567 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8357035,83.570 ms,USB packet,Packets,Packet: NAK,NAK,
8361669,83.617 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8361984,83.620 ms,USB packet,Packets,Packet: NAK,NAK,
8366444,83.664 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8366759,83.668 ms,USB packet,Packets,Packet: NAK,NAK,
8370819,83.708 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8371135,83.711 ms,USB packet,Packets,Packet: NAK,NAK,
8375219,83.752 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8375534,83.755 ms,USB packet,Packets,Packet: NAK,NAK,
8379619,83.796 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8379934,83.799 ms,USB packet,Packets,Packet: NAK,NAK,
8384019,83.840 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8384335,83.843 ms,USB packet,Packets,Packet: NAK,NAK,
8388419,83.884 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8388735,83.887 ms,USB packet,Packets,Packet: NAK,NAK,
8393619,83.936 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8393936,83.939 ms,USB packet,Packets,Packet: NAK,NAK,
8398019,83.980 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8398336,83.983 ms,USB packet,Packets,Packet: NAK,NAK,
8402419,84.024 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8402735,84.027 ms,USB packet,Packets,Packet: NAK,NAK,
8408703,84.087 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8409018,84.090 ms,USB packet,Packets,Packet: NAK,NAK,
8413244,84.132 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8413559,84.136 ms,USB packet,Packets,Packet: NAK,NAK,
8418520,84.185 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8418834,84.188 ms,USB packet,Packets,Packet: NAK,NAK,
8428678,84.287 ms,USB packet,Packets,Packet: SOF,SOF 1320,
8429003,84.290 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8429318,84.293 ms,USB packet,Packets,Packet: NAK,NAK,
8433820,84.338 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8434134,84.341 ms,USB packet,Packets,Packet: NAK,NAK,
8438220,84.382 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8438535,84.385 ms,USB packet,Packets,Packet: NAK,NAK,
8443520,84.435 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8443835,84.438 ms,USB packet,Packets,Packet: NAK,NAK,
8447920,84.479 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8448235,84.482 ms,USB packet,Packets,Packet: NAK,NAK,
8452320,84.523 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8452635,84.526 ms,USB packet,Packets,Packet: NAK,NAK,
8456720,84.567 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8457035,84.570 ms,USB packet,Packets,Packet: NAK,NAK,
8461120,84.611 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8461435,84.614 ms,USB packet,Packets,Packet: NAK,NAK,
8465520,84.655 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8465835,84.658 ms,USB packet,Packets,Packet: NAK,NAK,
8469920,84.699 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8470236,84.702 ms,USB packet,Packets,Packet: NAK,NAK,
8474320,84.743 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8474636,84.746 ms,USB packet,Packets,Packet: NAK,NAK,
8478945,84.789 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8479261,84.793 ms,USB packet,Packets,Packet: NAK,NAK,
8483320,84.833 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8483636,84.836 ms,USB packet,Packets,Packet: NAK,NAK,
8487720,84.877 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8488035,84.880 ms,USB packet,Packets,Packet: NAK,NAK,
8492120,84.921 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8492435,84.924 ms,USB packet,Packets,Packet: NAK,NAK,
8498603,84.986 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8498920,84.989 ms,USB packet,Packets,Packet: NAK,NAK,
8503887,85.039 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8504202,85.042 ms,USB packet,Packets,Packet: NAK,NAK,
8508320,85.083 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8508636,85.086 ms,USB packet,Packets,Packet: NAK,NAK,
8512720,85.127 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8513035,85.130 ms,USB packet,Packets,Packet: NAK,NAK,
8517120,85.171 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8517436,85.174 ms,USB packet,Packets,Packet: NAK,NAK,
8521520,85.215 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8521836,85.218 ms,USB packet,Packets,Packet: NAK,NAK,
8528679,85.287 ms,USB packet,Packets,Packet: SOF,SOF 1321,
8529003,85.290 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8529319,85.293 ms,USB packet,Packets,Packet: NAK,NAK,
8533320,85.333 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8533635,85.336 ms,USB packet,Packets,Packet: NAK,NAK,
8537720,85.377 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8538035,85.380 ms,USB packet,Packets,Packet: NAK,NAK,
8542120,85.421 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8542436,85.424 ms,USB packet,Packets,Packet: NAK,NAK,
8546520,85.465 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8546835,85.468 ms,USB packet,Packets,Packet: NAK,NAK,
8550920,85.509 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8551236,85.512 ms,USB packet,Packets,Packet: NAK,NAK,
8556120,85.561 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8556435,85.564 ms,USB packet,Packets,Packet: NAK,NAK,
8560520,85.605 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8560836,85.608 ms,USB packet,Packets,Packet: NAK,NAK,
8564920,85.649 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8565236,85.652 ms,USB packet,Packets,Packet: NAK,NAK,
8569320,85.693 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8569636,85.696 ms,USB packet,Packets,Packet: NAK,NAK,
8573720,85.737 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8574036,85.740 ms,USB packet,Packets,Packet: NAK,NAK,
8578887,85.789 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8579204,85.792 ms,USB packet,Packets,Packet: NAK,NAK,
8583321,85.833 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8583636,85.836 ms,USB packet,Packets,Packet: NAK,NAK,
8587721,85.877 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8588035,85.880 ms,USB packet,Packets,Packet: NAK,NAK,
8592121,85.921 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8592437,85.924 ms,USB packet,Packets,Packet: NAK,NAK,
8596521,85.965 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8596837,85.968 ms,USB packet,Packets,Packet: NAK,NAK,
8600921,86.009 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8601236,86.012 ms,USB packet,Packets,Packet: NAK,NAK,
8606121,86.061 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8606436,86.064 ms,USB packet,Packets,Packet: NAK,NAK,
8610521,86.105 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8610836,86.108 ms,USB packet,Packets,Packet: NAK,NAK,
8614921,86.149 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8615235,86.152 ms,USB packet,Packets,Packet: NAK,NAK,
8619321,86.193 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8619636,86.196 ms,USB packet,Packets,Packet: NAK,NAK,
8628679,86.287 ms,USB packet,Packets,Packet: SOF,SOF 1322,
8629004,86.290 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8629320,86.293 ms,USB packet,Packets,Packet: NAK,NAK,
8635704,86.357 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8636020,86.360 ms,USB packet,Packets,Packet: NAK,NAK,
8640121,86.401 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8640437,86.404 ms,USB packet,Packets,Packet: NAK,NAK,
8644521,86.445 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8644836,86.448 ms,USB packet,Packets,Packet: NAK,NAK,
8648921,86.489 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8649236,86.492 ms,USB packet,Packets,Packet: NAK,NAK,
8653888,86.539 ms,USB packet,Packets,Packet: IN,IN ADDR 43 EP 1,
8654203,86.542 ms,USB packet,Packets,Packet: NAK,NAK,
